Wed Feb 19 15:41:30 2025 [1740001290362 msec] (183 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: corellia_city_Silver Villa_player on planet: corellia at: (x:-123.92, y:-5796.08, z:0)
Thu Feb 20 15:17:36 2025 [1740086256114 msec] (74 s) Thread 4 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Thu Feb 20 15:17:36 2025 [1740086256981 msec] (75 s) Thread 8 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Thu Feb 20 15:17:39 2025 [1740086259156 msec] (77 s) Thread 5 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Thu Feb 20 17:49:07 2025 [1740095347704 msec] (106 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Thu Feb 20 17:49:07 2025 [1740095347705 msec] (106 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Thu Feb 20 17:49:07 2025 [1740095347738 msec] (106 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Thu Feb 20 17:49:08 2025 [1740095348962 msec] (107 s) Thread 3 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Thu Feb 20 17:49:09 2025 [1740095349236 msec] (107 s) Thread 8 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Thu Feb 20 17:49:12 2025 [1740095352606 msec] (111 s) Thread 7 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Thu Feb 20 17:52:00 2025 [1740095520578 msec] (65 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Thu Feb 20 17:52:00 2025 [1740095520582 msec] (65 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Thu Feb 20 17:52:00 2025 [1740095520588 msec] (65 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Thu Feb 20 17:52:01 2025 [1740095521713 msec] (66 s) Thread 10 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Thu Feb 20 17:52:01 2025 [1740095521943 msec] (66 s) Thread 8 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Thu Feb 20 17:52:04 2025 [1740095524771 msec] (69 s) Thread 4 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Thu Feb 20 18:53:48 2025 [1740099228691 msec] (95 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Thu Feb 20 18:53:48 2025 [1740099228696 msec] (95 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Thu Feb 20 18:53:48 2025 [1740099228700 msec] (95 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Thu Feb 20 18:53:50 2025 [1740099230046 msec] (97 s) Thread 7 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Thu Feb 20 18:53:50 2025 [1740099230609 msec] (97 s) Thread 9 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Thu Feb 20 18:53:53 2025 [1740099233044 msec] (100 s) Thread 10 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Thu Feb 20 19:06:26 2025 [1740099986081 msec] (61 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Thu Feb 20 19:06:26 2025 [1740099986094 msec] (61 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Thu Feb 20 19:06:26 2025 [1740099986105 msec] (61 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Thu Feb 20 19:06:27 2025 [1740099987331 msec] (62 s) Thread 6 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Thu Feb 20 19:06:27 2025 [1740099987679 msec] (62 s) Thread 5 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Thu Feb 20 19:06:31 2025 [1740099991112 msec] (66 s) Thread 6 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 09:24:33 2025 [1740151473566 msec] (158 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 09:24:33 2025 [1740151473570 msec] (158 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 09:24:33 2025 [1740151473570 msec] (158 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 09:24:34 2025 [1740151474916 msec] (159 s) Thread 3 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 09:24:35 2025 [1740151475073 msec] (160 s) Thread 9 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 09:24:37 2025 [1740151477834 msec] (162 s) Thread 8 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 10:22:21 2025 [1740154941624 msec] (166 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 10:22:21 2025 [1740154941766 msec] (166 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 10:22:21 2025 [1740154941774 msec] (166 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 10:22:23 2025 [1740154943483 msec] (168 s) Thread 5 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 10:22:23 2025 [1740154943949 msec] (168 s) Thread 7 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 10:22:26 2025 [1740154946013 msec] (170 s) Thread 9 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 10:41:45 2025 [1740156105266 msec] (134 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 10:41:45 2025 [1740156105293 msec] (134 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 10:41:45 2025 [1740156105297 msec] (134 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 10:41:46 2025 [1740156106894 msec] (135 s) Thread 4 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 10:41:47 2025 [1740156107180 msec] (135 s) Thread 6 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 10:41:49 2025 [1740156109959 msec] (138 s) Thread 6 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 21:16:34 2025 [1740194194908 msec] (48 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: corellia_city_coronet on planet: corellia at: (x:-178, y:-4504, z:0)
Fri Feb 21 21:16:34 2025 [1740194194908 msec] (48 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: corellia_city_doaba_guerfel on planet: corellia at: (x:3272, y:5456, z:0)
Fri Feb 21 21:16:34 2025 [1740194194908 msec] (48 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: corellia_city_bela_vistal on planet: corellia at: (x:6788, y:-5654, z:0)
Fri Feb 21 21:18:01 2025 [1740194281889 msec] (135 s) Thread 5 - [NavMeshManager] INFO - Done building and setting navmesh for area: corellia_city_coronet on planet: corellia at: (x:-178, y:-4504, z:0)
Fri Feb 21 21:18:01 2025 [1740194281897 msec] (135 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: corellia_city_kor_vella on planet: corellia at: (x:-3512, y:3184, z:0)
Fri Feb 21 21:20:32 2025 [1740194432107 msec] (285 s) Thread 8 - [NavMeshManager] INFO - Done building and setting navmesh for area: corellia_city_bela_vistal on planet: corellia at: (x:6788, y:-5654, z:0)
Fri Feb 21 21:20:32 2025 [1740194432109 msec] (285 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: corellia_city_tyrena on planet: corellia at: (x:-5282, y:-2526, z:0)
Fri Feb 21 21:22:43 2025 [1740194563304 msec] (47 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 21:22:43 2025 [1740194563305 msec] (47 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 21:22:43 2025 [1740194563305 msec] (47 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 21:22:44 2025 [1740194564502 msec] (48 s) Thread 8 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 21:22:44 2025 [1740194564620 msec] (49 s) Thread 9 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 21:22:47 2025 [1740194567492 msec] (51 s) Thread 10 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 22:44:17 2025 [1740199457869 msec] (44 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 22:44:17 2025 [1740199457869 msec] (44 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 22:44:17 2025 [1740199457870 msec] (44 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 22:44:19 2025 [1740199459054 msec] (46 s) Thread 10 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 22:44:19 2025 [1740199459187 msec] (46 s) Thread 5 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 22:44:22 2025 [1740199462051 msec] (49 s) Thread 10 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 23:25:31 2025 [1740201931314 msec] (46 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 23:25:31 2025 [1740201931315 msec] (46 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 23:25:31 2025 [1740201931315 msec] (46 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 23:25:32 2025 [1740201932533 msec] (48 s) Thread 7 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 23:25:32 2025 [1740201932674 msec] (48 s) Thread 9 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 23:25:35 2025 [1740201935730 msec] (51 s) Thread 5 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 23:49:07 2025 [1740203347588 msec] (39 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Fri Feb 21 23:49:07 2025 [1740203347589 msec] (39 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 23:49:07 2025 [1740203347589 msec] (39 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 23:49:08 2025 [1740203348772 msec] (41 s) Thread 6 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Fri Feb 21 23:49:08 2025 [1740203348900 msec] (41 s) Thread 7 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Fri Feb 21 23:49:11 2025 [1740203351822 msec] (44 s) Thread 6 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Sat Feb 22 00:35:08 2025 [1740206108326 msec] (47 s) Thread 35 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp1 on planet: tatooine at: (x:1144, y:-3920, z:0)
Sat Feb 22 00:35:08 2025 [1740206108327 msec] (47 s) Thread 36 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
Sat Feb 22 00:35:08 2025 [1740206108327 msec] (47 s) Thread 37 - [NavMeshManager] INFO - Starting building navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Sat Feb 22 00:35:09 2025 [1740206109570 msec] (48 s) Thread 3 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_leader_camp on planet: tatooine at: (x:1500, y:-2000, z:0)
Sat Feb 22 00:35:09 2025 [1740206109703 msec] (48 s) Thread 4 - [NavMeshManager] INFO - Done building and setting navmesh for area: screenplay_tatooine_brigand_camp2 on planet: tatooine at: (x:1002, y:-3019, z:0)
